ENTREZID	ENSEMBL	SYMBOL	GENENAME
12834	ENSMUSG00000020241	Col6a2	collagen, type VI, alpha 2
72515	ENSMUSG00000041057	Wdr43	WD repeat domain 43
545370	ENSMUSG00000066842	Hmcn1	hemicentin 1
20319	ENSMUSG00000027996	Sfrp2	secreted frizzled-related protein 2
14299	ENSMUSG00000062661	Ncs1	neuronal calcium sensor 1
16590	ENSMUSG00000005672	Kit	KIT proto-oncogene receptor tyrosine kinase
270150	ENSMUSG00000070306	Ccdc153	coiled-coil domain containing 153
14586	ENSMUSG00000022103	Gfra2	glial cell line derived neurotrophic factor family receptor alpha 2
72978	ENSMUSG00000026514	Cnih3	cornichon family AMPA receptor auxiliary protein 3
59028	ENSMUSG00000024785	Rcl1	RNA terminal phosphate cyclase-like 1
319530	ENSMUSG00000039238	Zfp750	zinc finger protein 750
12978	ENSMUSG00000024621	Csf1r	colony stimulating factor 1 receptor
68026	ENSMUSG00000040204	Pclaf	PCNA clamp associated factor
50786	ENSMUSG00000062184	Hs6st2	heparan sulfate 6-O-sulfotransferase 2
13386	ENSMUSG00000040856	Dlk1	delta like non-canonical Notch ligand 1
13386	ENSMUSG00000098411	Dlk1	delta like non-canonical Notch ligand 1
329739	ENSMUSG00000040339	Fam102b	family with sequence similarity 102, member B
68108	NA	Snhg17	small nucleolar RNA host gene 17
78896	ENSMUSG00000026051	1500015O10Rik	RIKEN cDNA 1500015O10 gene
16763	ENSMUSG00000041782	Lad1	ladinin
68567	ENSMUSG00000029161	Cgref1	cell growth regulator with EF hand domain 1
12839	ENSMUSG00000026147	Col9a1	collagen, type IX, alpha 1
12266	ENSMUSG00000024164	C3	complement component 3
79362	ENSMUSG00000030256	Bhlhe41	basic helix-loop-helix family, member e41
107094	ENSMUSG00000035049	Rrp12	ribosomal RNA processing 12 homolog (S. cerevisiae)
53311	ENSMUSG00000042451	Mybph	myosin binding protein H
232431	ENSMUSG00000046733	Gprc5a	G protein-coupled receptor, family C, group 5, member A
52530	ENSMUSG00000001056	Nhp2	NHP2 ribonucleoprotein
18260	ENSMUSG00000021638	Ocln	occludin
11472	ENSMUSG00000052374	Actn2	actinin alpha 2
110196	ENSMUSG00000059743	Fdps	farnesyl diphosphate synthetase
229595	ENSMUSG00000015850	Adamtsl4	ADAMTS-like 4
18826	ENSMUSG00000021998	Lcp1	lymphocyte cytosolic protein 1
620695	ENSMUSG00000087006	Gm13889	predicted gene 13889
27409	ENSMUSG00000040505	Abcg5	ATP binding cassette subfamily G member 5
194126	ENSMUSG00000045934	Mtmr11	myotubularin related protein 11
14113	ENSMUSG00000046865	Fbl	fibrillarin
329738	ENSMUSG00000049565	Aknad1	AKNA domain containing 1
76982	ENSMUSG00000067879	Vxn	vexin
15109	ENSMUSG00000020017	Hal	histidine ammonia lyase
235505	ENSMUSG00000046186	Cd109	CD109 antigen
14287	ENSMUSG00000009566	Fpgs	folylpolyglutamyl synthetase
20564	ENSMUSG00000056427	Slit3	slit guidance ligand 3
319909	ENSMUSG00000074766	Ism1	isthmin 1, angiogenesis inhibitor
67451	ENSMUSG00000041957	Pkp2	plakophilin 2
109731	ENSMUSG00000040147	Maob	monoamine oxidase B
13040	ENSMUSG00000038642	Ctss	cathepsin S
235036	ENSMUSG00000004100	Ppan	peter pan homolog
26365	ENSMUSG00000074272	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1
16906	ENSMUSG00000024590	Lmnb1	lamin B1
14181	ENSMUSG00000048373	Fgfbp1	fibroblast growth factor binding protein 1
100340	ENSMUSG00000028885	Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B
239530	ENSMUSG00000045281	Gpr20	G protein-coupled receptor 20
74376	ENSMUSG00000072720	Myo18b	myosin XVIIIb
83554	ENSMUSG00000020325	Fstl3	follistatin-like 3
52033	ENSMUSG00000022033	Pbk	PDZ binding kinase
14748	ENSMUSG00000049649	Gpr3	G-protein coupled receptor 3
67223	ENSMUSG00000001305	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae)
16878	ENSMUSG00000034394	Lif	leukemia inhibitory factor
18440	ENSMUSG00000022758	P2rx6	purinergic receptor P2X, ligand-gated ion channel, 6
60599	ENSMUSG00000028211	Trp53inp1	transformation related protein 53 inducible nuclear protein 1
74134	ENSMUSG00000040703	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1
67619	ENSMUSG00000003848	Nob1	NIN1/RPN12 binding protein 1 homolog
17279	ENSMUSG00000035683	Melk	maternal embryonic leucine zipper kinase
22354	ENSMUSG00000032528	Vipr1	vasoactive intestinal peptide receptor 1
108673	ENSMUSG00000024732	Ccdc86	coiled-coil domain containing 86
68775	ENSMUSG00000020566	Atp6v1c2	ATPase, H+ transporting, lysosomal V1 subunit C2
211945	ENSMUSG00000060716	Plekhh1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
18194	ENSMUSG00000031349	Nsdhl	NAD(P) dependent steroid dehydrogenase-like
226255	ENSMUSG00000054843	Atrnl1	attractin like 1
170459	ENSMUSG00000024378	Stard4	StAR-related lipid transfer (START) domain containing 4
18008	ENSMUSG00000004891	Nes	nestin
11910	ENSMUSG00000026628	Atf3	activating transcription factor 3
11535	ENSMUSG00000030790	Adm	adrenomedullin
224997	ENSMUSG00000003279	Dlgap1	DLG associated protein 1
104662	ENSMUSG00000038335	Tsr1	TSR1 20S rRNA accumulation
16669	ENSMUSG00000020911	Krt19	keratin 19
231713	ENSMUSG00000042719	Naa25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
72713	ENSMUSG00000033544	Angptl1	angiopoietin-like 1
53624	ENSMUSG00000018569	Cldn7	claudin 7
66240	ENSMUSG00000090122	Kcne1l	potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene
327900	ENSMUSG00000044949	Ubtd2	ubiquitin domain containing 2
20448	ENSMUSG00000079442	St6galnac4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
74035	ENSMUSG00000028948	Nol9	nucleolar protein 9
71819	ENSMUSG00000032254	Kif23	kinesin family member 23
74427	ENSMUSG00000021890	Eaf1	ELL associated factor 1
19283	ENSMUSG00000068748	Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1
18973	ENSMUSG00000007080	Pole	polymerase (DNA directed), epsilon
329876	NA	Gm12680	predicted gene 12680
404710	ENSMUSG00000028068	Iqgap3	IQ motif containing GTPase activating protein 3
74754	ENSMUSG00000034926	Dhcr24	24-dehydrocholesterol reductase
18491	ENSMUSG00000028370	Pappa	pregnancy-associated plasma protein A
69573	ENSMUSG00000043421	Hilpda	hypoxia inducible lipid droplet associated
74137	ENSMUSG00000009772	Nuak2	NUAK family, SNF1-like kinase, 2
14061	ENSMUSG00000027249	F2	coagulation factor II
59031	ENSMUSG00000036599	Chst12	carbohydrate sulfotransferase 12
12833	ENSMUSG00000001119	Col6a1	collagen, type VI, alpha 1
381410	ENSMUSG00000075040	Zfp408	zinc finger protein 408
56419	ENSMUSG00000022021	Diaph3	diaphanous related formin 3
12173	ENSMUSG00000025105	Bnc1	basonuclin 1
50908	ENSMUSG00000038521	C1s1	complement component 1, s subcomponent 1
16598	ENSMUSG00000055148	Klf2	Kruppel-like factor 2 (lung)
70717	ENSMUSG00000029659	Medag	mesenteric estrogen dependent adipogenesis
14623	ENSMUSG00000040055	Gjb6	gap junction protein, beta 6
228543	ENSMUSG00000034226	Rhov	ras homolog family member V
76509	ENSMUSG00000032068	Plet1	placenta expressed transcript 1
12142	ENSMUSG00000038151	Prdm1	PR domain containing 1, with ZNF domain
12977	ENSMUSG00000014599	Csf1	colony stimulating factor 1 (macrophage)
11464	ENSMUSG00000068614	Actc1	actin, alpha, cardiac muscle 1
73075	ENSMUSG00000078451	Ppil6	peptidylprolyl isomerase (cyclophilin)-like 6
18102	ENSMUSG00000037601	Nme1	NME/NM23 nucleoside diphosphate kinase 1
195733	ENSMUSG00000020656	Grhl1	grainyhead like transcription factor 1
20135	ENSMUSG00000020649	Rrm2	ribonucleotide reductase M2
70333	ENSMUSG00000047649	Cd3eap	CD3E antigen, epsilon polypeptide associated protein
26934	ENSMUSG00000023015	Racgap1	Rac GTPase-activating protein 1
223473	ENSMUSG00000038879	Nipal2	NIPA-like domain containing 2
16534	ENSMUSG00000054342	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
13139	ENSMUSG00000025357	Dgka	diacylglycerol kinase, alpha
102098	ENSMUSG00000004568	Arhgef18	rho/rac guanine nucleotide exchange factor (GEF) 18
209737	ENSMUSG00000036768	Kif15	kinesin family member 15
192120	ENSMUSG00000028392	Bspry	B-box and SPRY domain containing
20271	ENSMUSG00000032511	Scn5a	sodium channel, voltage-gated, type V, alpha
23871	ENSMUSG00000032035	Ets1	E26 avian leukemia oncogene 1, 5' domain
100217456	ENSMUSG00000092887	Snord53	small nucleolar RNA, C/D box 53
72119	ENSMUSG00000027469	Tpx2	TPX2, microtubule-associated
22776	ENSMUSG00000002266	Zim1	zinc finger, imprinted 1
14585	ENSMUSG00000025089	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1
72462	ENSMUSG00000058392	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
338370	ENSMUSG00000000197	Nalcn	sodium leak channel, non-selective
213393	ENSMUSG00000048489	Depp1	DEPP1 autophagy regulator
72027	ENSMUSG00000063354	Slc39a4	solute carrier family 39 (zinc transporter), member 4
70784	ENSMUSG00000041696	Rasl12	RAS-like, family 12
320685	ENSMUSG00000031562	Dctd	dCMP deaminase
24014	ENSMUSG00000066800	Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)
106878	ENSMUSG00000038059	Smim3	small integral membrane protein 3
12261	ENSMUSG00000018446	C1qbp	complement component 1, q subcomponent binding protein
23790	ENSMUSG00000004530	Coro1c	coronin, actin binding protein 1C
70466	ENSMUSG00000048327	Ckap2l	cytoskeleton associated protein 2-like
74155	ENSMUSG00000028967	Errfi1	ERBB receptor feedback inhibitor 1
72565	ENSMUSG00000034485	Uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats
211064	ENSMUSG00000079036	Alkbh1	alkB homolog 1, histone H2A dioxygenase
110935	ENSMUSG00000006269	Atp6v1b1	ATPase, H+ transporting, lysosomal V1 subunit B1
72309	ENSMUSG00000054871	Tmem158	transmembrane protein 158
75767	ENSMUSG00000031488	Rab11fip1	RAB11 family interacting protein 1 (class I)
208628	ENSMUSG00000029414	Kntc1	kinetochore associated 1
226251	ENSMUSG00000025085	Ablim1	actin-binding LIM protein 1
382038	ENSMUSG00000031976	Urb2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
65256	ENSMUSG00000021200	Asb2	ankyrin repeat and SOCS box-containing 2
21949	ENSMUSG00000028362	Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8
14281	ENSMUSG00000021250	Fos	FBJ osteosarcoma oncogene
14087	ENSMUSG00000032815	Fanca	Fanconi anemia, complementation group A
107747	ENSMUSG00000030088	Aldh1l1	aldehyde dehydrogenase 1 family, member L1
12522	ENSMUSG00000015396	Cd83	CD83 antigen
12428	ENSMUSG00000027715	Ccna2	cyclin A2
71874	ENSMUSG00000034159	2310007B03Rik	RIKEN cDNA 2310007B03 gene
16551	ENSMUSG00000012443	Kif11	kinesin family member 11
16551	ENSMUSG00000111220	Kif11	kinesin family member 11
19023	ENSMUSG00000029410	Ppef2	protein phosphatase, EF hand calcium-binding domain 2
234258	ENSMUSG00000039396	Neil3	nei like 3 (E. coli)
66977	ENSMUSG00000026683	Nuf2	NUF2, NDC80 kinetochore complex component
23849	ENSMUSG00000000078	Klf6	Kruppel-like factor 6
234344	ENSMUSG00000014907	Naf1	nuclear assembly factor 1 ribonucleoprotein
239673	ENSMUSG00000048699	Krt90	keratin 90
12373	ENSMUSG00000027861	Casq2	calsequestrin 2
333654	ENSMUSG00000040734	Ppp1r13l	protein phosphatase 1, regulatory subunit 13 like
328162	ENSMUSG00000060950	Trmt61a	tRNA methyltransferase 61A
625638	ENSMUSG00000078235	Fam43b	family with sequence similarity 43, member B
20344	ENSMUSG00000026580	Selp	selectin, platelet
329628	ENSMUSG00000046743	Fat4	FAT atypical cadherin 4
17121	ENSMUSG00000021485	Mxd3	Max dimerization protein 3
13614	ENSMUSG00000021367	Edn1	endothelin 1
78748	ENSMUSG00000098132	Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
20510	ENSMUSG00000024935	Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
629461	NA	NA	NA
171284	ENSMUSG00000040413	Timd2	T cell immunoglobulin and mucin domain containing 2
23961	ENSMUSG00000029605	Oas1b	2'-5' oligoadenylate synthetase 1B
14063	ENSMUSG00000021678	F2rl1	coagulation factor II (thrombin) receptor-like 1
231801	ENSMUSG00000029722	Agfg2	ArfGAP with FG repeats 2
320315	ENSMUSG00000097326	A330048O09Rik	RIKEN cDNA A330048O09 gene
16531	ENSMUSG00000063142	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
70835	ENSMUSG00000045027	Prss22	protease, serine 22
68743	ENSMUSG00000036777	Anln	anillin, actin binding protein
13641	ENSMUSG00000031217	Efnb1	ephrin B1
237175	ENSMUSG00000031298	Adgrg2	adhesion G protein-coupled receptor G2
12704	ENSMUSG00000029516	Cit	citron
55927	ENSMUSG00000067071	Hes6	hairy and enhancer of split 6
217946	ENSMUSG00000021175	Cdca7l	cell division cycle associated 7 like
27966	ENSMUSG00000041506	Rrp9	RRP9, small subunit (SSU) processome component, homolog (yeast)
230863	ENSMUSG00000045349	Sh2d5	SH2 domain containing 5
269261	ENSMUSG00000038900	Rpl12	ribosomal protein L12
331474	ENSMUSG00000049191	Rtl5	retrotransposon Gag like 5
67949	ENSMUSG00000026377	Nifk	nucleolar protein interacting with the FHA domain of MKI67
17131	ENSMUSG00000025880	Smad7	SMAD family member 7
16890	ENSMUSG00000003123	Lipe	lipase, hormone sensitive
80914	ENSMUSG00000026558	Uck2	uridine-cytidine kinase 2
13036	ENSMUSG00000032359	Ctsh	cathepsin H
14066	ENSMUSG00000028128	F3	coagulation factor III
54141	ENSMUSG00000002055	Spag5	sperm associated antigen 5
230126	ENSMUSG00000044813	Shb	src homology 2 domain-containing transforming protein B
229706	ENSMUSG00000027894	Slc6a17	solute carrier family 6 (neurotransmitter transporter), member 17
105522	ENSMUSG00000014496	Ankrd28	ankyrin repeat domain 28
21926	ENSMUSG00000024401	Tnf	tumor necrosis factor
68184	ENSMUSG00000023106	Denr	density-regulated protein
16658	ENSMUSG00000074622	Mafb	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)
244421	ENSMUSG00000039633	Lonrf1	LON peptidase N-terminal domain and ring finger 1
12534	ENSMUSG00000019942	Cdk1	cyclin-dependent kinase 1
69237	ENSMUSG00000021149	Gtpbp4	GTP binding protein 4
218518	ENSMUSG00000021636	Marveld2	MARVEL (membrane-associating) domain containing 2
17762	ENSMUSG00000018411	Mapt	microtubule-associated protein tau
68147	ENSMUSG00000028010	Gar1	GAR1 ribonucleoprotein
223989	ENSMUSG00000060657	Marf1	meiosis regulator and mRNA stability 1
667766	NA	Gm8801	protein phosphatase 1, regulatory subunit 10 pseudogene
14319	ENSMUSG00000024661	Fth1	ferritin heavy polypeptide 1
53886	ENSMUSG00000029403	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase)
14619	ENSMUSG00000046352	Gjb2	gap junction protein, beta 2
231452	ENSMUSG00000029415	Sdad1	SDA1 domain containing 1
15357	ENSMUSG00000021670	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
67702	ENSMUSG00000048234	Rnf149	ring finger protein 149
100039795	ENSMUSG00000040612	Ildr2	immunoglobulin-like domain containing receptor 2
215210	ENSMUSG00000039886	Tmem120a	transmembrane protein 120A
242122	ENSMUSG00000051076	Vtcn1	V-set domain containing T cell activation inhibitor 1
59014	ENSMUSG00000061024	Rrs1	ribosome biogenesis regulator 1
75590	ENSMUSG00000031383	Dusp9	dual specificity phosphatase 9
71458	ENSMUSG00000040363	Bcor	BCL6 interacting corepressor
11941	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2
54392	ENSMUSG00000015880	Ncapg	non-SMC condensin I complex, subunit G
11520	ENSMUSG00000028494	Plin2	perilipin 2
66970	ENSMUSG00000003992	Ssbp2	single-stranded DNA binding protein 2
98682	ENSMUSG00000041439	Mfsd6	major facilitator superfamily domain containing 6
226245	ENSMUSG00000035818	Plekhs1	pleckstrin homology domain containing, family S member 1
100504344	NA	Gm20186	predicted gene, 20186
225845	ENSMUSG00000060675	Pla2g16	phospholipase A2, group XVI
20537	ENSMUSG00000011034	Slc5a1	solute carrier family 5 (sodium/glucose cotransporter), member 1
18111	ENSMUSG00000067786	Nnat	neuronatin
78749	ENSMUSG00000043336	Filip1l	filamin A interacting protein 1-like
217995	ENSMUSG00000050244	Heatr1	HEAT repeat containing 1
16980	ENSMUSG00000026443	Lrrn2	leucine rich repeat protein 2, neuronal
56095	ENSMUSG00000020706	Ftsj3	FtsJ RNA methyltransferase homolog 3 (E. coli)
14137	ENSMUSG00000021273	Fdft1	farnesyl diphosphate farnesyl transferase 1
27375	ENSMUSG00000034917	Tjp3	tight junction protein 3
19889	ENSMUSG00000060090	Rp2	retinitis pigmentosa 2 homolog
225207	ENSMUSG00000024420	Zfp521	zinc finger protein 521
84004	ENSMUSG00000032135	Mcam	melanoma cell adhesion molecule
216877	ENSMUSG00000040620	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33
19092	ENSMUSG00000029334	Prkg2	protein kinase, cGMP-dependent, type II
320253	ENSMUSG00000032656	March3	membrane-associated ring finger (C3HC4) 3
93694	ENSMUSG00000030157	Clec2d	C-type lectin domain family 2, member d
20419	ENSMUSG00000022322	Shcbp1	Shc SH2-domain binding protein 1
245945	ENSMUSG00000070780	Rbm47	RNA binding motif protein 47
75991	ENSMUSG00000036087	Slain2	SLAIN motif family, member 2
68671	ENSMUSG00000025137	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine
353211	ENSMUSG00000039126	Prune2	prune homolog 2
68048	ENSMUSG00000030609	Aen	apoptosis enhancing nuclease
110784	ENSMUSG00000031618	Nr3c2	nuclear receptor subfamily 3, group C, member 2
13824	ENSMUSG00000024376	Epb41l4a	erythrocyte membrane protein band 4.1 like 4a
70737	ENSMUSG00000068876	Cgn	cingulin
108897	ENSMUSG00000001864	Aif1l	allograft inflammatory factor 1-like
69540	ENSMUSG00000030693	Klk10	kallikrein related-peptidase 10
22704	ENSMUSG00000051351	Zfp46	zinc finger protein 46
16987	ENSMUSG00000033105	Lss	lanosterol synthase
99512	ENSMUSG00000040389	Wdr47	WD repeat domain 47
20249	ENSMUSG00000037071	Scd1	stearoyl-Coenzyme A desaturase 1
12262	ENSMUSG00000036896	C1qc	complement component 1, q subcomponent, C chain
54189	ENSMUSG00000020817	Rabep1	rabaptin, RAB GTPase binding effector protein 1
98999	ENSMUSG00000039501	Znfx1	zinc finger, NFX1-type containing 1
223650	ENSMUSG00000115388	Eppk1	epiplakin 1
57741	ENSMUSG00000095567	Noc2l	NOC2 like nucleolar associated transcriptional repressor
69288	ENSMUSG00000019944	Rhobtb1	Rho-related BTB domain containing 1
232670	ENSMUSG00000001763	Tspan33	tetraspanin 33
18553	ENSMUSG00000030513	Pcsk6	proprotein convertase subtilisin/kexin type 6
78834	ENSMUSG00000050846	Zfp623	zinc finger protein 623
13447	ENSMUSG00000020848	Doc2b	double C2, beta
111241	ENSMUSG00000078249	Hmga1b	high mobility group AT-hook 1B
243725	ENSMUSG00000032827	Ppp1r9a	protein phosphatase 1, regulatory subunit 9A
100042480	ENSMUSG00000079481	Nhsl2	NHS-like 2
80885	ENSMUSG00000045502	Hcar2	hydroxycarboxylic acid receptor 2
66422	ENSMUSG00000042462	Dctpp1	dCTP pyrophosphatase 1
66164	ENSMUSG00000031917	Nip7	NIP7, nucleolar pre-rRNA processing protein
66039	ENSMUSG00000072676	Tmem254a	transmembrane protein 254a
103172	ENSMUSG00000049422	Chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10
20444	ENSMUSG00000031749	St3gal2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
50778	ENSMUSG00000026358	Rgs1	regulator of G-protein signaling 1
100038627	ENSMUSG00000114442	F630042J09Rik	RIKEN cDNA F630042J09 gene
19340	ENSMUSG00000019066	Rab3d	RAB3D, member RAS oncogene family
69008	ENSMUSG00000021981	Cab39l	calcium binding protein 39-like
319269	NA	A130040M12Rik	RIKEN cDNA A130040M12 gene
110197	ENSMUSG00000022861	Dgkg	diacylglycerol kinase, gamma
226922	ENSMUSG00000028033	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5
207911	ENSMUSG00000050164	Mchr1	melanin-concentrating hormone receptor 1
18938	ENSMUSG00000056612	Ppp1r14b	protein phosphatase 1, regulatory inhibitor subunit 14B
17216	ENSMUSG00000002870	Mcm2	minichromosome maintenance complex component 2
14584	ENSMUSG00000020363	Gfpt2	glutamine fructose-6-phosphate transaminase 2
57266	ENSMUSG00000021508	Cxcl14	chemokine (C-X-C motif) ligand 14
107272	ENSMUSG00000024640	Psat1	phosphoserine aminotransferase 1
232943	ENSMUSG00000040714	Klc3	kinesin light chain 3
18383	ENSMUSG00000063727	Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
12259	ENSMUSG00000036887	C1qa	complement component 1, q subcomponent, alpha polypeptide
74107	ENSMUSG00000024989	Cep55	centrosomal protein 55
19769	ENSMUSG00000028057	Rit1	Ras-like without CAAX 1
217011	ENSMUSG00000020692	Nle1	notchless homolog 1
241556	ENSMUSG00000027217	Tspan18	tetraspanin 18
13404	ENSMUSG00000022429	Dmc1	DNA meiotic recombinase 1
71393	ENSMUSG00000021752	Kctd6	potassium channel tetramerisation domain containing 6
14955	ENSMUSG00000000031	H19	H19, imprinted maternally expressed transcript
98956	ENSMUSG00000027185	Nat10	N-acetyltransferase 10
13400	ENSMUSG00000030409	Dmpk	dystrophia myotonica-protein kinase
24004	ENSMUSG00000043518	Rai2	retinoic acid induced 2
231440	ENSMUSG00000034981	Parm1	prostate androgen-regulated mucin-like protein 1
21771	ENSMUSG00000041438	Utp4	UTP4 small subunit processome component
12832	ENSMUSG00000026042	Col5a2	collagen, type V, alpha 2
59091	ENSMUSG00000017817	Jph2	junctophilin 2
68728	ENSMUSG00000038375	Trp53inp2	transformation related protein 53 inducible nuclear protein 2
12614	ENSMUSG00000016028	Celsr1	cadherin, EGF LAG seven-pass G-type receptor 1
76441	ENSMUSG00000040260	Daam2	dishevelled associated activator of morphogenesis 2
18795	ENSMUSG00000051177	Plcb1	phospholipase C, beta 1
20306	ENSMUSG00000035373	Ccl7	chemokine (C-C motif) ligand 7
213773	ENSMUSG00000040688	Tbl3	transducin (beta)-like 3
14190	ENSMUSG00000039899	Fgl2	fibrinogen-like protein 2
235442	ENSMUSG00000036943	Rab8b	RAB8B, member RAS oncogene family
171210	ENSMUSG00000021226	Acot2	acyl-CoA thioesterase 2
18227	ENSMUSG00000026826	Nr4a2	nuclear receptor subfamily 4, group A, member 2
13627	ENSMUSG00000037742	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
13448	ENSMUSG00000068335	Dok1	docking protein 1
67291	ENSMUSG00000049957	Ccdc137	coiled-coil domain containing 137
100502766	ENSMUSG00000079553	Kifc1	kinesin family member C1
16858	ENSMUSG00000053522	Lgals7	lectin, galactose binding, soluble 7
328417	ENSMUSG00000054509	Parp4	poly (ADP-ribose) polymerase family, member 4
26457	ENSMUSG00000031808	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1
93672	ENSMUSG00000026420	Il24	interleukin 24
17196	ENSMUSG00000041607	Mbp	myelin basic protein
53412	ENSMUSG00000067279	Ppp1r3c	protein phosphatase 1, regulatory subunit 3C
665649	NA	NA	NA
